"TOA5","CR1000_HEF_EIS","CR1000","29792","CR1000.Std.18","CPU:AWS_HEF_Eis2014.CR1","39076","HEF_Eis"
"TIMESTAMP","RECORD","Batt_Min","Tair_Avg","Tair_Max","Tair_TMx","Tair_Min","Tair_TMn","RH_Avg","RH100_Avg","e_Avg","Wspeed","Wdir","Std_Wdir","Dist_Avg","SRQC_Max","SWI_Avg","SWO_Avg","LWI_Avg","LWO_Avg","cnr4_T_C_Avg","LWI_corr_Avg","LWO_corr_Avg","Press"
"TS","RN","Volt","Celsius","Celsius","Celsius","Celsius","Celsius","%","%","hPa","m/s","Deg","Deg","m","none","W/m^2","W/m^2","W/m^2","W/m^2","Celsius","W/m^2","W/m^2","hPa"
"","","Min","Avg","Max","TMx","Min","TMn","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"2014-08-02 14:00:00",98,14.48,6.175,6.511,"2014-08-02 13:50:00",5.974,"2014-08-02 13:57:00",84.19325,84.19325,7.964003,2.013,246.1,18.08,0.992,196,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.2098
"2014-08-02 14:30:00",99,13.41,6.049,6.685,"2014-08-02 14:16:00",5.662,"2014-08-02 14:24:00",86.50977,86.50977,8.109643,3.246,253.8,24.16,0.992,195,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.2405
"2014-08-02 15:00:00",100,14.52,6.471,6.905,"2014-08-02 14:51:00",5.881,"2014-08-02 14:44:00",86.49973,86.49973,8.349294,1.971,270.7,50.92,0.985,233,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",733.6816
"2014-08-02 15:30:00",101,13.12,5.363,6.535,"2014-08-02 15:01:00",3.856,"2014-08-02 15:23:00",86.14161,86.14161,7.71514,5.012,272.6,21.47,0.994,250,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.623
"2014-08-02 16:00:00",102,13.11,4.788,5.157,"2014-08-02 15:50:00",4.366,"2014-08-02 15:33:00",82.5422,82.5422,7.088997,5.227,255,16.11,0.988,235,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.3192
"2014-08-02 16:30:00",103,14.55,5.587,6.549,"2014-08-02 16:30:00",4.956,"2014-08-02 16:11:00",77.90864,77.90864,7.076418,4.305,247.6,24.33,0.979,283,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.314
"2014-08-02 17:00:00",104,14.55,5.784,6.564,"2014-08-02 16:32:00",5.468,"2014-08-02 16:57:00",79.0459,79.0459,7.276586,6.141,245.7,10.18,0.987,273,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",733.7959
"2014-08-02 17:30:00",105,14.56,5.749,6.174,"2014-08-02 17:30:00",5.351,"2014-08-02 17:07:00",79.82858,79.82858,7.331935,6.947,239.4,9.35,0.968,250,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",733.9609
"2014-08-02 18:00:00",106,14.57,5.67,6.14,"2014-08-02 17:31:00",5.386,"2014-08-02 17:39:00",80.0267,80.0267,7.309273,6.651,249.7,11.87,0.993,234,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.1307
"2014-08-02 18:30:00",107,14.5,5.774,6.157,"2014-08-02 18:27:00",5.437,"2014-08-02 18:02:00",80.29202,80.29202,7.386957,5.832,244.9,9.22,0.965,256,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.0414
"2014-08-02 19:00:00",108,14.45,5.444,5.922,"2014-08-02 18:31:00",4.765,"2014-08-02 18:54:00",80.70292,80.70292,7.255965,4.364,244.9,10.88,0.991,225,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",733.4855
"2014-08-02 19:30:00",109,13.94,5.217,5.962,"2014-08-02 19:27:00",4.618,"2014-08-02 19:20:00",80.96029,80.96029,7.165296,5.056,242.4,8.19,0.969,196,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",733.8348
"2014-08-02 20:00:00",110,13.24,5.276,5.812,"2014-08-02 19:51:00",4.737,"2014-08-02 19:33:00",81.47942,81.47942,7.240618,4.125,253.1,7.784,0.965,212,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",733.9163
"2014-08-02 20:30:00",111,13.06,4.964,5.61,"2014-08-02 20:01:00",4.049,"2014-08-02 20:24:00",82.00713,82.00713,7.129671,3.872,251.3,11.88,0.992,274,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.3192
"2014-08-02 21:00:00",112,12.97,4.542,4.704,"2014-08-02 20:44:00",4.25,"2014-08-02 20:57:00",86.22066,86.22066,7.280261,4.173,245.5,5.726,0.989,278,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.1581
"2014-08-02 21:30:00",113,12.94,4.406,5.006,"2014-08-02 21:30:00",4.116,"2014-08-02 21:03:00",88.39233,88.39233,7.393359,3.957,250.1,8.54,0.991,225,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.8832
"2014-08-02 22:00:00",114,12.92,5.057,5.879,"2014-08-02 21:59:00",4.519,"2014-08-02 21:41:00",86.0153,86.0153,7.528907,3.29,237.9,14.67,0.988,200,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.8832
"2014-08-02 22:30:00",115,12.9,5.493,6.047,"2014-08-02 22:05:00",5.022,"2014-08-02 22:30:00",83.23631,83.23631,7.509204,2.564,251.5,20.28,0.987,240,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",734.8017
