"TOA5","29792","CR1000","29792","CR1000.Std.18","CPU:AWS_HEF_Eis2014_neu.CR1","49309","HEF_Eis"
"TIMESTAMP","RECORD","Batt_Min","Tair_Avg","Tair_Max","Tair_TMx","Tair_Min","Tair_TMn","RH_Avg","RH100_Avg","e_Avg","Wspeed","Wdir","Std_Wdir","Dist_Avg","SRQC_Max","SWI_Avg","SWO_Avg","LWI_Avg","LWO_Avg","cnr4_T_C_Avg","LWI_corr_Avg","LWO_corr_Avg","Press"
"TS","RN","Volt","Celsius","Celsius","Celsius","Celsius","Celsius","%","%","hPa","m/s","Deg","Deg","m","none","W/m^2","W/m^2","W/m^2","W/m^2","Celsius","W/m^2","W/m^2","hPa"
"","","Min","Avg","Max","TMx","Min","TMn","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"2018-06-03 12:00:00",41717,12.43,4.759,4.832,"2018-06-03 11:58:00",4.647,"2018-06-03 12:00:00",79.82608,79.82608,6.843557,1.262,248.1,6.508,0.735,196,714.5229,414.5862,-94.215,-46.35223,10.81934,274.4814,322.3441,739.9444
"2018-06-03 12:30:00",41718,12.11,4.585,4.952,"2018-06-03 12:17:00",4.179,"2018-06-03 12:30:00",80.01205,80.01205,6.775717,1.881,239.7,5.547,0.719,232,674.4217,398.0162,-84.73288,-42.68929,10.12617,280.3798,322.4234,740.1187
"2018-06-03 13:00:00",41719,12.05,4.38,5.271,"2018-06-03 12:51:00",3.642,"2018-06-03 12:39:00",82.53304,82.53304,6.884758,1.81,237.9,7.737,0.716,285,594.1594,374.5848,-75.43481,-37.72727,9.007665,283.9688,321.6763,739.9596
"2018-06-03 13:30:00",41720,12.43,4.393,4.7,"2018-06-03 13:30:00",3.995,"2018-06-03 13:18:00",83.06846,83.06846,6.940396,1.887,241.2,6.75,0.717,289,628.5085,403.0702,-74.63594,-39.56108,9.444217,286.9722,322.047,739.9596
"2018-06-03 14:00:00",41721,12.45,4.067,4.851,"2018-06-03 13:33:00",3.423,"2018-06-03 13:59:00",85.52044,85.52044,6.977201,1.826,242,9.66,0.72,242,589.7037,377.2323,-68.79044,-40.27911,9.679535,294.0344,322.5457,739.7177
"2018-06-03 14:30:00",41722,12.47,3.609,3.894,"2018-06-03 14:22:00",3.289,"2018-06-03 14:07:00",90.47201,90.47201,7.154067,1.852,241.7,8.28,0.718,244,491.7442,304.6865,-49.34911,-33.05349,7.998607,304.9169,321.2125,739.4758
"2018-06-03 15:00:00",41723,12.56,4.056,4.465,"2018-06-03 14:57:00",3.692,"2018-06-03 14:39:00",86.22261,86.22261,7.034135,1.96,255,7.911,0.722,293,617.9623,422.1845,-64.45586,-39.64813,9.412725,297.0206,321.8283,739.3146
"2018-06-03 15:30:00",41724,12.52,4.25,4.711,"2018-06-03 15:09:00",3.562,"2018-06-03 15:18:00",84.82197,84.82197,7.014092,1.773,244.7,6.212,0.728,200,483.4101,378.9052,-89.30373,-39.62853,9.658212,273.4267,323.1019,739.3352
"2018-06-03 16:00:00",41725,12.6,4.3,4.752,"2018-06-03 15:57:00",3.946,"2018-06-03 15:46:00",89.09666,89.09666,7.396642,1.971,261.1,4.84,0.73,353,443.6054,361.8973,-84.71805,-39.19863,9.534631,277.3554,322.8748,739.2343
"2018-06-03 16:30:00",41726,12.54,4.108,4.433,"2018-06-03 16:01:00",3.75,"2018-06-03 16:28:00",94.78014,94.78014,7.760596,2.036,269.4,11.18,0.735,226,300.7557,245.4432,-75.89201,-34.54916,8.49017,280.896,322.2388,739.0358
"2018-06-03 17:00:00",41727,12.59,4.346,4.917,"2018-06-03 16:40:00",3.876,"2018-06-03 16:48:00",97.18898,97.16331,8.091332,2.507,272.3,7.118,0.731,221,329.812,251.5435,-60.36831,-30.38609,7.352307,290.6524,320.6346,738.9918
"2018-06-03 17:30:00",41728,12.55,5.064,5.691,"2018-06-03 17:23:00",4.448,"2018-06-03 17:08:00",92.69216,92.69216,8.113051,2.492,292.3,11.9,0.735,266,275.6366,236.3717,-77.23167,-34.70658,8.301909,278.5666,321.0917,738.8308
"2018-06-03 18:00:00",41729,12.45,3.861,4.986,"2018-06-03 17:31:00",3.558,"2018-06-03 17:40:00",98.71603,98.25912,7.906851,2.15,272.4,8.12,0.734,237,153.7059,140.6866,-68.7544,-23.47854,5.795459,274.5456,319.8214,738.5889
"2018-06-03 18:30:00",41730,12.51,4.378,4.784,"2018-06-03 18:30:00",3.911,"2018-06-03 18:01:00",98.54076,98.25072,8.201609,2.402,273.2,12.22,0.737,238,140.2081,123.3853,-69.34121,-23.78112,5.830478,274.1267,319.6868,738.347
"2018-06-03 19:00:00",41731,12.51,4.22,4.784,"2018-06-03 18:31:00",3.944,"2018-06-03 18:38:00",98.88009,98.65836,8.144337,2.395,276.3,9.39,0.738,231,108.1965,75.97565,-64.94954,-19.13073,4.723354,273.093,318.9118,738.5082
"2018-06-03 19:30:00",41732,12.5,4.191,4.566,"2018-06-03 19:06:00",3.86,"2018-06-03 19:26:00",98.47413,98.39742,8.106277,2.447,287.8,10.61,0.736,199,92.39328,60.62511,-52.41566,-17.98622,4.402125,284.0659,318.4954,738.5082
"2018-06-03 20:00:00",41733,12.37,4.115,4.482,"2018-06-03 20:00:00",3.759,"2018-06-03 19:51:00",98.83418,98.79162,8.095551,2.283,288,18.48,0.738,216,44.95789,29.01262,-29.35665,-16.21205,4.044667,305.3959,318.5405,738.347
